pid,title,position,party,electorate,twitter,facebook,email,phone,aph
DYN,Dr Dennis Jensen MP,,Liberal Party of Australia,"Tangney, Western Australia",http://twitter.com/DennisJensenMP,http://www.facebook.com/dennisjensenmp,Dennis.Jensen.MP@aph.gov.au,(08) 9354 9633,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DYN
DZS,The Hon Chris Bowen MP,Minister for Immigration and Citizenship,Australian Labor Party,"McMahon, New South Wales",http://twitter.com/Bowenchris,http://www.facebook.com/chrisbowenmp,Chris.Bowen.MP@aph.gov.au,(02) 9604 0710,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZS
E07,Mrs Louise Markus MP,,Liberal Party of Australia,"Macquarie, New South Wales",,http://www.facebook.com/louise.markus.mp,,(02) 4577 2631,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E07
E09,Ms Julie Owens MP,,Australian Labor Party,"Parramatta, New South Wales",http://twitter.com/JulieOwensMP,http://www.facebook.com/julie.owens.mp,Julie.Owens.MP@aph.gov.au,(02) 9689 1455,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E09
E0D,Mr Ross Vasta MP,,Liberal Party of Australia,"Bonner, Queensland",,http://www.facebook.com/pages/Ross-Vasta/299861623376616,,(07) 3893 3488,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E0D
E0H,Mr Andrew Laming MP,,Liberal Party of Australia,"Bowman, Queensland",http://twitter.com/AndrewLamingMP,http://www.facebook.com/profile.php?id=100000494042921,,(07) 3821 0155,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E0H
E0J,Mr Michael Keenan MP,,Liberal Party of Australia,"Stirling, Western Australia",http://twitter.com/michaelkeenanmp,http://www.facebook.com/MichaelKeeenanMP,,(08) 9440 3999,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E0J
E3L,Mr Scott Morrison MP,,Liberal Party of Australia,"Cook, New South Wales",http://twitter.com/ScottMorrisonMP,http://www.facebook.com/pages/Scott-Morrison/101546263223119,,(02) 9523 0339,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=E3L
ECV,Mr Chris Hayes MP,,Australian Labor Party,"Fowler, New South Wales",,,Chris.Hayes.MP@aph.gov.au,(02) 9726 3988,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=ECV
EM6,The Hon Dr Sharman Stone MP,,Liberal Party of Australia,"Murray, Victoria",http://twitter.com/SharmanStone,http://www.facebook.com/profile.php?id=618520734,,(03) 5821 5371,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=EM6
EZ5,The Hon Tony Abbott MP,Leader of the Opposition,Liberal Party of Australia,"Warringah, New South Wales",http://twitter.com/TonyAbbottMHR,http://www.facebook.com/TonyAbbottMP,Tony.Abbott.MP@aph.gov.au,(02) 9977 6411,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=EZ5
FKL,Mr Josh Frydenberg MP,,Liberal Party of Australia,"Kooyong, Victoria",http://twitter.com/JoshFrydenberg,http://www.facebook.com/JoshFrydenbergMP,,(03) 9882 3677,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=FKL
FU4,"The Hon Andrew Robb AO, MP",,Liberal Party of Australia,"Goldstein, Victoria",http://twitter.com/AndrewRobbMP,,Andrew.Robb.MP@aph.gov.au,(03) 9557 4644,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=FU4
GT4,The Hon Warren Truss MP,Leader of The Nationals,The Nationals,"Wide Bay, Queensland",,,,(07) 4121 2936,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=GT4
HVN,Mrs Yvette D'Ath MP,,Australian Labor Party,"Petrie, Queensland",,http://www.facebook.com/YvetteDAth,,(07) 3284 8008,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVN
HVO,Mr Shayne Neumann MP,,Australian Labor Party,"Blair, Queensland",http://twitter.com/ShayneNeumannMP,https://www.facebook.com/shayne.neumann,Shayne.Neumann.MP@aph.gov.au,(07) 3201 5300,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVO
HVW,The Hon David Bradbury MP,Assistant Treasurer,Australian Labor Party,"Lindsay, New South Wales",http://twitter.com/davidbradburymp,http://www.facebook.com/DavidBradburyMP,,(02) 4732 1801,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVW
HVZ,Mr Craig Thomson MP,,Independent,"Dobell, New South Wales",http://twitter.com/DobellThommo,,,(02) 4351 1223,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HVZ
HW8,Mr Mike Symon MP,,Australian Labor Party,"Deakin, Victoria",,,,(03) 9874 4544,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HW8
HWB,Mr Tony Zappia MP,,Australian Labor Party,"Makin, South Australia",,,Tony.Zappia.MP@aph.gov.au,(08) 8265 3100,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWB
HWN,Mr Mark Coulton MP,The Nationals Chief Whip,The Nationals,"Parkes, New South Wales",,http://www.facebook.com/people/Mark-Coulton/732382571,Mark.Coulton.MP@aph.gov.au,(02) 6882 0999,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWN
HWO,Mr Alex Hawke MP,,Liberal Party of Australia,"Mitchell, New South Wales",http://twitter.com/alexhawkemp,http://www.facebook.com/alex.hawke.mp,,(02) 9899 7211,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWO
HWP,Ms Nola Marino MP,Opposition Whip,Liberal Party of Australia,"Forrest, Western Australia",http://twitter.com/#!/NolaMarinoMP,http://www.facebook.com/nola.marino.mp,Nola.Marino.MP@aph.gov.au,(08) 9725 2300,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWP
HWS,Mr Rowan Ramsey MP,,Liberal Party of Australia,"Grey, South Australia",,,,(08) 8633 1744,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWS
HWT,Mr Stuart Robert MP,,Liberal Party of Australia,"Fadden, Queensland",http://twitter.com/stuartrobertmp,,,(07) 5500 5919,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWT
HX4,The Hon Bob Katter MP,,Katter's Australian Party,"Kennedy, Queensland",http://twitter.com/RealBobKatter,http://www.facebook.com/bobkattermp,Bob.Katter.MP@aph.gov.au,(07) 4061 6066,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HX4
HYM,Mr Steve Irons MP,,Liberal Party of Australia,"Swan, Western Australia",http://twitter.com/SteveIronsMP,https://www.facebook.com/pages/Steve-Irons-MP-Federal-Member-for-Swan/162172533830403,,(08) 9355 0099,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HYM
IPZ,Mr Darren Chester MP,,The Nationals,"Gippsland, Victoria",,,,(03) 5144 6744,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IPZ
IYU,Mr Jamie Briggs MP,,Liberal Party of Australia,"Mayo, South Australia",http://twitter.com/BriggsJamie,http://www.facebook.com/profile.php?id=1024460381,,(08) 8398 5566,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=IYU
JK6,The Hon Robert McClelland MP,,Australian Labor Party,"Barton, New South Wales",,,R.McClelland.MP@aph.gov.au,(02) 9553 4111,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=JK6
KV5,Mr Paul Neville MP,The Nationals Deputy Whip,The Nationals,"Hinkler, Queensland",,,P.Neville.MP@aph.gov.au,(07) 4152 0744,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=KV5
L6B,Mr Paul Fletcher MP,,Liberal Party of Australia,"Bradfield, New South Wales",http://twitter.com/paulwfletcher/,http://www.facebook.com/pages/Paul-Fletcher/142496131402,Paul.Fletcher.MP@aph.gov.au,(02) 9465 3950,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=L6B
LKU,Ms Kelly O'Dwyer MP,,Liberal Party of Australia,"Higgins, Victoria",http://twitter.com/kellyodwyer,http://www.facebook.com/pages/Kelly-ODwyer/171601117783,,(03) 9822 4422,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=LKU
LL6,The Hon Bob Baldwin MP,,Liberal Party of Australia,"Paterson, New South Wales",http://twitter.com/bobbaldwinmp,http://en-gb.facebook.com/bobbaldwinmp,Bob.Baldwin.MP@aph.gov.au,(02) 4983 1330,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=LL6
M2V,Mr Russell Matheson MP,,Liberal Party of Australia,"Macarthur, New South Wales",http://twitter.com/russellmatheson,http://www.facebook.com/pages/Russell-Matheson-MP-Federal-Member-for-Macarthur/164320700256328,russell.matheson.mp@aph.gov.au,(02) 4655 7600,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2V
M2X,Mr Wyatt Roy MP,,Liberal Party of Australia,"Longman, Queensland",http://twitter.com/Wyatt_Roy_MP,http://www.facebook.com/wyatt.roy1,,(07) 5428 7755,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2X
M2Y,Mr Alan Tudge MP,,Liberal Party of Australia,"Aston, Victoria",http://twitter.com/AlanTudgeMP,http://www.facebook.com/alantudgemp,,(03) 9887 3890,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2Y
M3K,Mr Tony Crook MP,,The Nationals WA,"O'Connor, Western Australia",,,,(08) 9021 1241,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3K
M3M,"Mr John Alexander OAM, MP",,Liberal Party of Australia,"Bennelong, New South Wales",http://twitter.com/JohnAlexanderMP,http://www.facebook.com/profile.php?id=100001834307725,,(02) 9869 4288,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3M
MT4,Mr Russell Broadbent MP,,Liberal Party of Australia,"McMillan, Victoria",,,Russell.Broadbent.MP@aph.gov.au,(03) 5623 2064,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=MT4
NV5,Mr John Forrest MP,,The Nationals,"Mallee, Victoria",,,J.Forrest.MP@aph.gov.au,(03) 5032 4510,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=NV5
PK6,Mr Don Randall MP,,Liberal Party of Australia,"Canning, Western Australia",,,Don.Randall.MP@aph.gov.au,(08) 9390 1211,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=PK6
SE4,The Hon Bronwyn Bishop MP,,Liberal Party of Australia,"Mackellar, New South Wales",,,Bronwyn.Bishop.MP@aph.gov.au,(02) 9913 9566,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=SE4
TK6,Dr Andrew Southcott MP,,Liberal Party of Australia,"Boothby, South Australia",http://twitter.com/asouthcottmp,http://www.facebook.com/people/Andrew-Southcott/564332755,Andrew.Southcott.MP@aph.gov.au,(08) 8374 0511,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=TK6
WN6,The Hon Ian Macfarlane MP,,Liberal Party of Australia,"Groom, Queensland",,,Ian.Macfarlane.MP@aph.gov.au,(07) 4632 4144,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=WN6
ZT4,The Hon Alexander Somlyay MP,,Liberal Party of Australia,"Fairfax, Queensland",,,Alex.Somlyay.MP@aph.gov.au,(07) 5479 2800,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=ZT4
83P,The Hon Julie Bishop MP,Deputy Leader of the Opposition,Liberal Party of Australia,"Curtin, Western Australia",http://twitter.com/JulieBishopMP,http://www.facebook.com/julie.bishop.mp,Julie.Bishop.MP@aph.gov.au,(08) 9388 0288,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83P
2V5,The Hon Wayne Swan MP,Deputy Prime Minister and Treasurer,Australian Labor Party,"Lilley, Queensland",http://twitter.com/SwannyDPM,http://www.facebook.com/Wayne.Swan.MP,,(07) 3266 8244,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=2V5
M38,Mr Geoff Lyons MP,,Australian Labor Party,"Bass, Tasmania",,,,(03) 6334 7033,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M38
HK5,The Hon Kevin Andrews MP,,Liberal Party of Australia,"Menzies, Victoria",http://twitter.com/kevinandrewsmp,http://www.facebook.com/kevinandrewsmp,Kevin.Andrews.MP@aph.gov.au,(03) 9848 9900,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HK5
YT4,The Hon Bruce Scott MP,,The Nationals,"Maranoa, Queensland",,,Bruce.Scott.MP@aph.gov.au,(07) 4662 2715,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=YT4
M3A,"Mr Ken Wyatt AM, MP",,Liberal Party of Australia,"Hasluck, Western Australia",http://twitter.com/KenWyattMP,,,(08) 9359 0322,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M3A
159771,Ms Michelle Rowland MP,,Australian Labor Party,"Greenway, New South Wales",http://twitter.com/MRowlandMP,http://www.facebook.com/mrowlandmp,,(02) 9671 4780,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=159771
